date,region,category,customer,product,quantity,price,total
2025-01-09,Ege,Yazılım,Eksen Yazılım,CRM Yıllık Lisansı,2,16800,33600
2025-01-19,Marmara,Mobilya,Nova Perakende,Toplantı Masası,3,14500,43500
2025-01-20,İç Anadolu,Giyim,Mercan Turizm,İş Güvenliği Seti,5,1950,9750
2025-01-21,Ege,Elektronik,Eksen Yazılım,Dizüstü Bilgisayar,5,34500,172500
2025-01-24,Ege,Elektronik,Pera Danışmanlık,Akıllı Telefon,3,22800,68400
2025-01-25,Karadeniz,Ofis,Lale Tekstil,Ergonomik Sandalye,1,4600,4600
2025-02-02,Marmara,Elektronik,Nova Perakende,Dizüstü Bilgisayar,1,34500,34500
2025-02-04,Marmara,Ofis,Doruk İnşaat,Çalışma Masası,5,6900,34500
2025-02-05,Güneydoğu Anadolu,Giyim,Atlas Holding,İş Güvenliği Seti,5,1950,9750
2025-02-10,İç Anadolu,Mobilya,Mercan Turizm,Dosya Dolabı,5,3850,19250
2025-02-14,Karadeniz,Giyim,Nova Perakende,İş Güvenliği Seti,3,1950,5850
2025-02-16,Ege,Ofis,Anka Teknoloji,Ergonomik Sandalye,4,4600,18400
2025-03-03,Ege,Elektronik,Kuzey Endüstri,Dizüstü Bilgisayar,5,34500,172500
2025-03-15,Ege,Elektronik,Kuzey Endüstri,Akıllı Telefon,3,22800,68400
2025-03-15,Ege,Giyim,Pera Danışmanlık,İş Güvenliği Seti,4,1950,7800
2025-03-18,Akdeniz,Elektronik,Nova Perakende,Monitör,4,7800,31200
2025-03-21,İç Anadolu,Giyim,Atlas Holding,İş Güvenliği Seti,5,1950,9750
2025-03-21,Marmara,Giyim,Pera Danışmanlık,İş Güvenliği Seti,5,1950,9750
2025-04-10,İç Anadolu,Mobilya,Pera Danışmanlık,Dosya Dolabı,3,3850,11550
2025-04-15,Güneydoğu Anadolu,Elektronik,Mavi Lojistik,Akıllı Telefon,2,22800,45600
2025-04-19,İç Anadolu,Elektronik,Pera Danışmanlık,Monitör,1,7800,7800
2025-04-24,Güneydoğu Anadolu,Mobilya,Doruk İnşaat,Dosya Dolabı,5,3850,19250
2025-04-25,Ege,Elektronik,Doruk İnşaat,Akıllı Telefon,1,22800,22800
2025-04-25,Karadeniz,Giyim,Mercan Turizm,İş Güvenliği Seti,1,1950,1950
2025-05-03,Akdeniz,Yazılım,Rota Otomotiv,Analytics Pro Lisansı,3,12000,36000
2025-05-07,Marmara,Mobilya,Vadi Enerji,Toplantı Masası,3,14500,43500
2025-05-15,Marmara,Mobilya,Vadi Enerji,Dosya Dolabı,4,3850,15400
2025-05-19,Karadeniz,Ofis,Eksen Yazılım,Çalışma Masası,5,6900,34500
2025-05-23,Karadeniz,Elektronik,Pera Danışmanlık,Dizüstü Bilgisayar,3,34500,103500
2025-05-25,Marmara,Mobilya,Mavi Lojistik,Toplantı Masası,3,14500,43500
2025-06-02,Marmara,Yazılım,Eksen Yazılım,CRM Yıllık Lisansı,4,16128,64512
2025-06-07,Marmara,Yazılım,Vadi Enerji,CRM Yıllık Lisansı,3,16128,48384
2025-06-08,Marmara,Giyim,Pera Danışmanlık,Kurumsal Mont,2,2352,4704
2025-06-08,Ege,Elektronik,Lale Tekstil,Dizüstü Bilgisayar,5,33120,165600
2025-06-08,Karadeniz,Elektronik,Anka Teknoloji,Akıllı Telefon,5,21888,109440
2025-06-19,Marmara,Yazılım,Vadi Enerji,CRM Yıllık Lisansı,5,16128,80640
2025-07-07,İç Anadolu,Mobilya,Mavi Lojistik,Dosya Dolabı,5,3696,18480
2025-07-13,Marmara,Yazılım,Atlas Holding,Analytics Pro Lisansı,4,11520,46080
2025-07-14,Karadeniz,Giyim,Mavi Lojistik,Kurumsal Mont,2,2352,4704
2025-07-19,Marmara,Ofis,Mercan Turizm,Ergonomik Sandalye,4,4416,17664
2025-07-19,Güneydoğu Anadolu,Mobilya,Rota Otomotiv,Dosya Dolabı,5,3696,18480
2025-07-24,Marmara,Elektronik,Rota Otomotiv,Monitör,4,7488,29952
2025-08-02,Marmara,Ofis,Doruk İnşaat,Çalışma Masası,5,6624,33120
2025-08-06,Ege,Elektronik,Lale Tekstil,Monitör,1,7488,7488
2025-08-08,Ege,Mobilya,Vadi Enerji,Toplantı Masası,2,13920,27840
2025-08-12,Güneydoğu Anadolu,Elektronik,Pera Danışmanlık,Akıllı Telefon,1,21888,21888
2025-08-13,Marmara,Mobilya,Vadi Enerji,Toplantı Masası,5,13920,69600
2025-08-25,Ege,Elektronik,Atlas Holding,Monitör,3,7488,22464
2025-09-02,Marmara,Yazılım,Mercan Turizm,Analytics Pro Lisansı,3,12000,36000
2025-09-15,Güneydoğu Anadolu,Mobilya,Kuzey Endüstri,Toplantı Masası,1,14500,14500
2025-09-16,Ege,Ofis,Nova Perakende,Ergonomik Sandalye,1,4600,4600
2025-09-18,Karadeniz,Ofis,Pera Danışmanlık,Çalışma Masası,1,6900,6900
2025-09-18,Marmara,Elektronik,Anka Teknoloji,Monitör,4,7800,31200
2025-09-24,Marmara,Ofis,Pera Danışmanlık,Ergonomik Sandalye,4,4600,18400
2025-10-04,Karadeniz,Giyim,Anka Teknoloji,İş Güvenliği Seti,5,1950,9750
2025-10-09,Karadeniz,Ofis,Kuzey Endüstri,Çalışma Masası,2,6900,13800
2025-10-12,Marmara,Mobilya,Eksen Yazılım,Toplantı Masası,3,14500,43500
2025-10-12,Karadeniz,Mobilya,Doruk İnşaat,Dosya Dolabı,5,3850,19250
2025-10-15,Ege,Yazılım,Vadi Enerji,Analytics Pro Lisansı,3,12000,36000
2025-10-26,Akdeniz,Mobilya,Rota Otomotiv,Dosya Dolabı,2,3850,7700
2025-11-03,İç Anadolu,Giyim,Anka Teknoloji,İş Güvenliği Seti,3,2106,6318
2025-11-04,Akdeniz,Yazılım,Lale Tekstil,CRM Yıllık Lisansı,3,18144,54432
2025-11-09,Marmara,Ofis,Mavi Lojistik,Ergonomik Sandalye,1,4968,4968
2025-11-09,Güneydoğu Anadolu,Yazılım,Atlas Holding,CRM Yıllık Lisansı,1,18144,18144
2025-11-10,Marmara,Mobilya,Nova Perakende,Dosya Dolabı,3,4158,12474
2025-11-25,Marmara,Yazılım,Nova Perakende,CRM Yıllık Lisansı,2,18144,36288
2025-12-03,İç Anadolu,Ofis,Mavi Lojistik,Ergonomik Sandalye,2,4968,9936
2025-12-06,Ege,Giyim,Eksen Yazılım,Kurumsal Mont,3,2646,7938
2025-12-07,Marmara,Ofis,Eksen Yazılım,Ergonomik Sandalye,1,4968,4968
2025-12-09,Marmara,Yazılım,Mavi Lojistik,Analytics Pro Lisansı,1,12960,12960
2025-12-13,Karadeniz,Elektronik,Mavi Lojistik,Dizüstü Bilgisayar,3,37260,111780
2025-12-17,Karadeniz,Giyim,Anka Teknoloji,Kurumsal Mont,4,2646,10584
2026-01-02,İç Anadolu,Mobilya,Nova Perakende,Toplantı Masası,4,14500,58000
2026-01-02,İç Anadolu,Elektronik,Doruk İnşaat,Dizüstü Bilgisayar,2,34500,69000
2026-01-05,İç Anadolu,Elektronik,Lale Tekstil,Monitör,2,7800,15600
2026-01-06,Akdeniz,Mobilya,Mavi Lojistik,Toplantı Masası,5,14500,72500
2026-01-07,İç Anadolu,Mobilya,Mercan Turizm,Toplantı Masası,3,14500,43500
2026-01-22,İç Anadolu,Mobilya,Mercan Turizm,Dosya Dolabı,1,3850,3850
2026-02-07,Marmara,Elektronik,Doruk İnşaat,Monitör,4,7800,31200
2026-02-10,Akdeniz,Mobilya,Mavi Lojistik,Toplantı Masası,1,14500,14500
2026-02-10,İç Anadolu,Giyim,Eksen Yazılım,Kurumsal Mont,1,2450,2450
2026-02-10,Marmara,Yazılım,Mavi Lojistik,CRM Yıllık Lisansı,3,16800,50400
2026-02-11,Marmara,Yazılım,Eksen Yazılım,Analytics Pro Lisansı,2,12000,24000
2026-02-22,İç Anadolu,Mobilya,Pera Danışmanlık,Toplantı Masası,5,14500,72500
2026-03-05,İç Anadolu,Yazılım,Lale Tekstil,CRM Yıllık Lisansı,2,16800,33600
2026-03-06,Ege,Mobilya,Vadi Enerji,Dosya Dolabı,5,3850,19250
